floor,A,B,C,O,symbol,bid_size,bid_price,ask_size,ask_price
03:00:00.000000000,0.99,,,,SPXW__220302P04390000,5,83.60,1,93.10
03:01:00.000000000,1.00,,,,SPXW__220302P04390000,4,86.90,4,90.60
03:02:00.000000000,1.00,,,,SPXW__220302P04390000,4,89.80,4,93.30
03:03:00.000000000,1.00,,,,SPXW__220302P04390000,4,91.30,4,95.00
03:04:00.000000000,1.00,,,,SPXW__220302P04390000,15,92.50,4,96.30
03:05:00.000000000,1.00,,,,SPXW__220302P04390000,4,94.50,4,98.00
03:06:00.000000000,1.00,,,,SPXW__220302P04390000,4,101.00,4,104.40
03:07:00.000000000,1.00,,,,SPXW__220302P04390000,4,100.50,4,104.20
03:08:00.000000000,1.00,,,,SPXW__220302P04390000,11,98.20,11,102.30
03:09:00.000000000,1.00,,,,SPXW__220302P04390000,4,99.40,4,103.20
03:10:00.000000000,1.00,,,,SPXW__220302P04390000,4,93.20,4,97.20
03:11:00.000000000,1.00,,,,SPXW__220302P04390000,4,90.70,4,94.50
03:12:00.000000000,1.00,,,,SPXW__220302P04390000,5,89.30,1,98.20
03:13:00.000000000,1.00,,,,SPXW__220302P04390000,4,91.50,4,95.50
03:14:00.000000000,1.00,,,,SPXW__220302P04390000,1,88.20,5,98.00
03:15:00.000000000,1.00,,,,SPXW__220302P04390000,11,89.10,11,93.30
03:16:00.000000000,1.00,,,,SPXW__220302P04390000,4,84.00,4,87.70
03:17:00.000000000,1.00,,,,SPXW__220302P04390000,4,82.50,4,86.00
03:18:00.000000000,1.00,,,,SPXW__220302P04390000,4,81.90,4,85.80
03:19:00.000000000,1.00,,,,SPXW__220302P04390000,4,80.90,4,84.40
03:20:00.000000000,1.00,,,,SPXW__220302P04390000,4,79.60,4,83.00
03:21:00.000000000,1.00,,,,SPXW__220302P04390000,4,82.00,4,85.10
03:22:00.000000000,1.00,,,,SPXW__220302P04390000,1,75.50,5,84.50
03:23:00.000000000,1.00,,,,SPXW__220302P04390000,15,75.10,4,78.20
03:24:00.000000000,1.00,,,,SPXW__220302P04390000,1,72.90,3,81.40
03:25:00.000000000,1.00,,,,SPXW__220302P04390000,11,75.50,11,78.90
03:26:00.000000000,1.00,,,,SPXW__220302P04390000,4,77.00,4,80.10
03:27:00.000000000,1.00,,,,SPXW__220302P04390000,4,74.90,4,78.20
03:28:00.000000000,1.00,,,,SPXW__220302P04390000,15,76.10,4,79.40
03:29:00.000000000,1.00,,,,SPXW__220302P04390000,15,77.70,4,80.80
03:30:00.000000000,1.00,,,,SPXW__220302P04390000,4,77.90,15,81.10
03:31:00.000000000,1.00,,,,SPXW__220302P04390000,4,75.30,4,78.50
03:32:00.000000000,1.00,,,,SPXW__220302P04390000,11,76.90,11,80.50
03:33:00.000000000,1.00,,,,SPXW__220302P04390000,4,77.30,4,80.30
03:34:00.000000000,1.00,,,,SPXW__220302P04390000,4,77.70,4,81.00
03:35:00.000000000,1.00,,,,SPXW__220302P04390000,4,78.40,4,81.40
03:36:00.000000000,1.00,,,,SPXW__220302P04390000,4,79.60,4,82.90
03:37:00.000000000,1.00,,,,SPXW__220302P04390000,4,81.50,4,84.50
03:38:00.000000000,1.00,,,,SPXW__220302P04390000,4,78.60,4,81.70
03:39:00.000000000,1.00,,,,SPXW__220302P04390000,4,78.90,4,82.20
03:40:00.000000000,1.00,,,,SPXW__220302P04390000,4,80.00,4,82.90
03:41:00.000000000,1.00,,,,SPXW__220302P04390000,4,79.10,4,82.20
03:42:00.000000000,1.00,,,,SPXW__220302P04390000,4,84.20,4,87.30
03:43:00.000000000,1.00,,,,SPXW__220302P04390000,4,86.20,4,89.00
03:44:00.000000000,1.00,,,,SPXW__220302P04390000,4,85.90,4,89.20
03:45:00.000000000,1.00,,,,SPXW__220302P04390000,11,87.90,11,91.60
03:46:00.000000000,1.00,,,,SPXW__220302P04390000,4,85.40,4,88.50
03:47:00.000000000,1.00,,,,SPXW__220302P04390000,4,86.00,4,89.10
03:48:00.000000000,1.00,,,,SPXW__220302P04390000,4,87.90,4,90.80
03:49:00.000000000,1.00,,,,SPXW__220302P04390000,4,86.70,4,89.80
03:50:00.000000000,1.00,,,,SPXW__220302P04390000,4,85.20,4,88.10
03:51:00.000000000,1.00,,,,SPXW__220302P04390000,4,86.50,4,89.80
03:52:00.000000000,1.00,,,,SPXW__220302P04390000,4,87.90,4,91.00
03:53:00.000000000,1.00,,,,SPXW__220302P04390000,4,91.50,4,95.00
03:54:00.000000000,1.00,,,,SPXW__220302P04390000,11,91.30,11,95.10
03:55:00.000000000,1.00,,,,SPXW__220302P04390000,4,90.10,15,93.30
03:56:00.000000000,1.00,,,,SPXW__220302P04390000,4,92.30,4,95.20
03:57:00.000000000,1.00,,,,SPXW__220302P04390000,11,90.40,11,94.30
03:58:00.000000000,1.00,,,,SPXW__220302P04390000,4,90.10,4,93.00
03:59:00.000000000,1.00,,,,SPXW__220302P04390000,4,91.40,4,94.80
04:00:00.000000000,1.00,,,,SPXW__220302P04390000,4,95.00,4,98.30
04:01:00.000000000,1.00,,,,SPXW__220302P04390000,4,94.60,4,97.80
04:02:00.000000000,1.00,,,,SPXW__220302P04390000,5,91.30,1,100.90
04:03:00.000000000,1.00,,,,SPXW__220302P04390000,4,95.30,15,98.50
04:04:00.000000000,1.00,,,,SPXW__220302P04390000,4,94.10,4,97.30
04:05:00.000000000,1.00,,,,SPXW__220302P04390000,4,89.40,4,92.60
04:06:00.000000000,1.00,,,,SPXW__220302P04390000,4,87.90,4,90.70
04:07:00.000000000,1.00,,,,SPXW__220302P04390000,4,85.80,4,88.50
04:08:00.000000000,1.00,,,,SPXW__220302P04390000,4,88.40,4,91.60
04:09:00.000000000,1.00,,,,SPXW__220302P04390000,4,85.30,15,88.50
04:10:00.000000000,1.00,,,,SPXW__220302P04390000,4,84.10,15,87.00
04:11:00.000000000,1.00,,,,SPXW__220302P04390000,4,81.00,4,83.90
04:12:00.000000000,1.00,,,,SPXW__220302P04390000,4,81.40,4,84.40
04:13:00.000000000,1.00,,,,SPXW__220302P04390000,4,79.80,4,83.00
04:14:00.000000000,1.00,,,,SPXW__220302P04390000,4,81.40,15,85.10
04:15:00.000000000,1.00,,,,SPXW__220302P04390000,4,79.50,15,82.50
04:16:00.000000000,1.00,,,,SPXW__220302P04390000,4,80.90,4,83.90
04:17:00.000000000,1.00,,,,SPXW__220302P04390000,4,81.20,4,84.40
04:18:00.000000000,1.00,,,,SPXW__220302P04390000,4,80.70,15,83.60
04:19:00.000000000,1.00,,,,SPXW__220302P04390000,4,81.70,11,84.50
04:20:00.000000000,1.00,,,,SPXW__220302P04390000,4,82.30,15,85.50
04:21:00.000000000,1.00,,,,SPXW__220302P04390000,4,82.30,4,85.50
04:22:00.000000000,1.00,,,,SPXW__220302P04390000,4,82.80,4,85.80
04:23:00.000000000,1.00,,,,SPXW__220302P04390000,4,85.20,4,88.20
04:24:00.000000000,1.00,,,,SPXW__220302P04390000,4,87.40,4,90.40
04:25:00.000000000,1.00,,,,SPXW__220302P04390000,4,85.70,4,88.70
04:26:00.000000000,1.00,,,,SPXW__220302P04390000,4,86.70,4,90.10
04:27:00.000000000,1.00,,,,SPXW__220302P04390000,11,88.30,11,92.20
04:28:00.000000000,1.00,,,,SPXW__220302P04390000,4,87.90,4,91.30
04:29:00.000000000,1.00,,,,SPXW__220302P04390000,4,84.20,3,91.20
04:30:00.000000000,1.00,,,,SPXW__220302P04390000,1,63.70,1,73.70
04:31:00.000000000,1.00,,,,SPXW__220302P04390000,4,66.90,4,69.90
04:32:00.000000000,1.00,,,,SPXW__220302P04390000,15,73.80,4,77.00
04:33:00.000000000,1.00,,,,SPXW__220302P04390000,4,71.60,4,74.80
04:34:00.000000000,1.00,,,,SPXW__220302P04390000,4,72.00,4,75.00
04:35:00.000000000,1.00,,,,SPXW__220302P04390000,15,72.40,11,75.70
04:36:00.000000000,1.00,,,,SPXW__220302P04390000,11,72.30,11,75.60
04:37:00.000000000,1.00,,,,SPXW__220302P04390000,11,70.30,11,73.50
04:38:00.000000000,1.00,,,,SPXW__220302P04390000,4,71.30,4,74.40
04:39:00.000000000,1.00,,,,SPXW__220302P04390000,4,70.40,15,73.30
04:40:00.000000000,1.00,,,,SPXW__220302P04390000,4,70.10,4,73.20
04:41:00.000000000,1.00,,,,SPXW__220302P04390000,4,70.10,11,72.80
04:42:00.000000000,1.00,,,,SPXW__220302P04390000,4,68.30,11,71.30
04:43:00.000000000,1.00,,,,SPXW__220302P04390000,4,68.10,15,71.00
04:44:00.000000000,1.00,,,,SPXW__220302P04390000,11,68.40,11,71.50
04:45:00.000000000,1.00,,,,SPXW__220302P04390000,4,69.20,4,72.10
04:46:00.000000000,1.00,,,,SPXW__220302P04390000,4,67.40,4,70.30
04:47:00.000000000,1.00,,,,SPXW__220302P04390000,4,64.40,4,67.20
04:48:00.000000000,1.00,,,,SPXW__220302P04390000,4,60.20,4,62.00
04:49:00.000000000,1.00,,,,SPXW__220302P04390000,4,59.50,4,61.70
04:50:00.000000000,1.00,,,,SPXW__220302P04390000,4,56.90,4,59.10
04:51:00.000000000,1.00,,,,SPXW__220302P04390000,4,58.70,4,61.20
04:52:00.000000000,1.00,,,,SPXW__220302P04390000,4,59.50,4,61.50
04:53:00.000000000,1.00,,,,SPXW__220302P04390000,4,63.10,4,65.20
04:54:00.000000000,1.00,,,,SPXW__220302P04390000,4,61.60,4,63.70
04:55:00.000000000,1.00,,,,SPXW__220302P04390000,4,60.70,4,62.90
04:56:00.000000000,1.00,,,,SPXW__220302P04390000,4,62.20,4,64.10
04:57:00.000000000,1.00,,,,SPXW__220302P04390000,4,60.90,4,62.60
04:58:00.000000000,1.00,,,,SPXW__220302P04390000,4,60.90,4,62.90
04:59:00.000000000,1.00,,,,SPXW__220302P04390000,4,61.60,4,63.60
05:00:00.000000000,1.00,,,,SPXW__220302P04390000,4,60.90,4,63.00
05:01:00.000000000,1.00,,,,SPXW__220302P04390000,4,62.30,4,64.30
05:02:00.000000000,1.00,,,,SPXW__220302P04390000,4,61.50,4,63.70
05:03:00.000000000,1.00,,,,SPXW__220302P04390000,4,61.90,4,63.80
05:04:00.000000000,1.00,,,,SPXW__220302P04390000,4,63.90,4,66.80
05:05:00.000000000,1.00,,,,SPXW__220302P04390000,4,64.10,11,66.70
05:06:00.000000000,1.00,,,,SPXW__220302P04390000,4,63.80,11,66.50
05:07:00.000000000,1.00,,,,SPXW__220302P04390000,4,63.30,4,65.90
05:08:00.000000000,1.00,,,,SPXW__220302P04390000,4,62.30,4,64.40
05:09:00.000000000,1.00,,,,SPXW__220302P04390000,11,60.90,11,63.80
05:10:00.000000000,1.00,,,,SPXW__220302P04390000,4,62.30,4,64.20
05:11:00.000000000,1.00,,,,SPXW__220302P04390000,15,62.40,11,65.30
05:12:00.000000000,1.00,,,,SPXW__220302P04390000,4,61.90,4,64.00
05:13:00.000000000,1.00,,,,SPXW__220302P04390000,11,60.00,11,62.80
05:14:00.000000000,1.00,,,,SPXW__220302P04390000,4,60.50,4,62.70
05:15:00.000000000,1.00,,,,SPXW__220302P04390000,4,60.10,4,62.10
05:16:00.000000000,1.00,,,,SPXW__220302P04390000,4,60.10,4,61.90
05:17:00.000000000,1.00,,,,SPXW__220302P04390000,4,56.00,4,58.10
05:18:00.000000000,1.00,,,,SPXW__220302P04390000,4,54.60,4,56.80
05:19:00.000000000,1.00,,,,SPXW__220302P04390000,4,57.30,4,59.30
05:20:00.000000000,1.00,,,,SPXW__220302P04390000,4,57.20,4,59.00
05:21:00.000000000,1.00,,,,SPXW__220302P04390000,4,57.20,4,58.90
05:22:00.000000000,1.00,,,,SPXW__220302P04390000,4,58.00,4,59.60
05:23:00.000000000,1.00,,,,SPXW__220302P04390000,4,58.40,4,60.40
05:24:00.000000000,1.00,,,,SPXW__220302P04390000,4,57.90,4,59.80
05:25:00.000000000,1.00,,,,SPXW__220302P04390000,4,57.60,4,59.50
05:26:00.000000000,1.00,,,,SPXW__220302P04390000,4,57.90,4,59.80
05:27:00.000000000,1.00,,,,SPXW__220302P04390000,4,59.90,4,61.80
05:28:00.000000000,1.00,,,,SPXW__220302P04390000,4,59.70,4,61.60
05:29:00.000000000,1.00,,,,SPXW__220302P04390000,4,59.60,4,61.40
